Gear: Cannondale SuperSix
Date: Nov 12, 2020, 9:56:04 AM

timestamp: 2020-11-12 09:56:03

battery_soc: 84.0 percent
cadence: 0 rpm
calories: 0 kcal
distance: 0.0 m
enhanced_speed: 4.811 m/s
gps_accuracy: 3 m
heart_rate: 89 bpm
position_lat: -303060696 semicircles
position_long: -587534700 semicircles
power: 0 watts
speed: 4.811 m/s
timestamp: 2020-11-12 09:56:04

cadence: 0 rpm
calories: 0 kcal
distance: 3.6 m
enhanced_speed: 4.981 m/s
gps_accuracy: 3 m
heart_rate: 89 bpm
position_lat: -303060947 semicircles
position_long: -587534355 semicircles
power: 0 watts
speed: 4.981 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:05

cadence: 0 rpm
calories: 0 kcal
distance: 8.04 m
enhanced_speed: 5.254 m/s
gps_accuracy: 3 m
heart_rate: 89 bpm
position_lat: -303061262 semicircles
position_long: -587533947 semicircles
power: 0 watts
speed: 5.254 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:06

cadence: 0 rpm
calories: 0 kcal
distance: 13.08 m
enhanced_speed: 5.517 m/s
gps_accuracy: 3 m
heart_rate: 90 bpm
position_lat: -303061605 semicircles
position_long: -587533480 semicircles
power: 0 watts
speed: 5.517 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:07

cadence: 0 rpm
calories: 0 kcal
distance: 18.58 m
enhanced_speed: 5.947 m/s
gps_accuracy: 3 m
heart_rate: 90 bpm
position_lat: -303061954 semicircles
position_long: -587532961 semicircles
power: 0 watts
speed: 5.947 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:08

cadence: 0 rpm
calories: 0 kcal
distance: 24.41 m
enhanced_speed: 6.418 m/s
gps_accuracy: 2 m
heart_rate: 90 bpm
position_lat: -303062315 semicircles
position_long: -587532393 semicircles
power: 0 watts
speed: 6.418 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:09

cadence: 0 rpm
calories: 0 kcal
distance: 30.81 m
enhanced_speed: 6.592 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
position_lat: -303062699 semicircles
position_long: -587531760 semicircles
power: 0 watts
speed: 6.592 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:10

cadence: 0 rpm
calories: 0 kcal
distance: 37.48 m
enhanced_speed: 6.298 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
position_lat: -303063097 semicircles
position_long: -587531104 semicircles
power: 0 watts
speed: 6.298 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:11

cadence: 0 rpm
calories: 0 kcal
distance: 43.66 m
enhanced_speed: 5.987 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
position_lat: -303063474 semicircles
position_long: -587530487 semicircles
power: 0 watts
speed: 5.987 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:12

cadence: 0 rpm
calories: 0 kcal
distance: 49.82 m
enhanced_speed: 5.878 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
position_lat: -303063861 semicircles
position_long: -587529903 semicircles
power: 0 watts
speed: 5.878 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:13

cadence: 0 rpm
calories: 0 kcal
distance: 55.56 m
enhanced_speed: 5.555 m/s
gps_accuracy: 2 m
heart_rate: 89 bpm
position_lat: -303064269 semicircles
position_long: -587529408 semicircles
power: 0 watts
speed: 5.555 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:14

cadence: 0 rpm
calories: 0 kcal
distance: 60.91 m
enhanced_speed: 5.323 m/s
gps_accuracy: 2 m
heart_rate: 88 bpm
position_lat: -303064724 semicircles
position_long: -587529026 semicircles
power: 0 watts
speed: 5.323 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:15

cadence: 0 rpm
calories: 0 kcal
distance: 65.64 m
enhanced_speed: 4.734 m/s
gps_accuracy: 2 m
heart_rate: 88 bpm
position_lat: -303065189 semicircles
position_long: -587528803 semicircles
power: 0 watts
speed: 4.734 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:16

cadence: 0 rpm
calories: 0 kcal
distance: 69.97 m
enhanced_speed: 4.356 m/s
gps_accuracy: 2 m
heart_rate: 88 bpm
position_lat: -303065648 semicircles
position_long: -587528786 semicircles
power: 0 watts
speed: 4.356 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:17

cadence: 0 rpm
calories: 0 kcal
distance: 74.4 m
enhanced_speed: 4.552 m/s
gps_accuracy: 2 m
heart_rate: 88 bpm
position_lat: -303066119 semicircles
position_long: -587528878 semicircles
power: 0 watts
speed: 4.552 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:18

cadence: 0 rpm
calories: 0 kcal
distance: 78.74 m
enhanced_speed: 4.488 m/s
gps_accuracy: 2 m
heart_rate: 87 bpm
position_lat: -303066585 semicircles
position_long: -587528897 semicircles
power: 0 watts
speed: 4.488 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:19

cadence: 0 rpm
calories: 0 kcal
distance: 83.24 m
enhanced_speed: 4.505 m/s
gps_accuracy: 2 m
heart_rate: 87 bpm
position_lat: -303067054 semicircles
position_long: -587528780 semicircles
power: 0 watts
speed: 4.505 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:20

cadence: 2 rpm
calories: 0 kcal
distance: 87.96 m
enhanced_speed: 4.629 m/s
gps_accuracy: 2 m
heart_rate: 86 bpm
position_lat: -303067508 semicircles
position_long: -587528544 semicircles
power: 0 watts
speed: 4.629 m/s
temperature: 15 C
timestamp: 2020-11-12 09:56:21

cadence: 34 rpm
calories: 0 kcal
distance: 92.53 m
enhanced_speed: 4.534 m/s
gps_accuracy: 2 m
heart_rate: 86 bpm
left_pedal_smoothness: 0.0 percent
left_right_balance: 100
position_lat: -303067941 semicircles
position_long: -587528295 semicircles
power: 0 watts
right_pedal_smoothness: 0.0 percent
